epoch,step,test_dice,train_loss,val_dice,val_loss
0,49,,1.233883023262024,,
0,99,,1.0929207801818848,,
0,99,,,0.5545690059661865,1.0750186443328857
1,149,,1.0041100978851318,,
1,199,,0.904605507850647,,
1,199,,,0.825148344039917,0.8621031045913696
2,249,,0.846534788608551,,
2,299,,0.7852445840835571,,
2,299,,,0.8663894534111023,0.7639423608779907
3,349,,0.7366514205932617,,
3,399,,0.6931783556938171,,
3,399,,,0.8789533972740173,0.6837854981422424
4,449,,0.6352514624595642,,
4,499,,0.6109628677368164,,
4,499,,,0.8936543464660645,0.6075979471206665
5,549,,0.5735869407653809,,
5,599,,0.5506711006164551,,
5,599,,,0.9033493995666504,0.5257399678230286
6,649,,0.5223462581634521,,
6,699,,0.4921051263809204,,
6,699,,,0.8978710174560547,0.4877474308013916
7,749,,0.4668835401535034,,
7,799,,0.4512205719947815,,
7,799,,,0.9046903848648071,0.4449627697467804
8,849,,0.40431690216064453,,
8,899,,0.390592098236084,,
8,899,,,0.9051828384399414,0.3962516486644745
9,949,,0.3668133020401001,,
9,999,,0.366178035736084,,
9,999,,,0.9062592387199402,0.36172381043434143
10,1049,,0.33602988719940186,,
10,1099,,0.33431971073150635,,
10,1099,,,0.9075424671173096,0.32736897468566895
11,1149,,0.32002124190330505,,
11,1199,,0.2987539768218994,,
11,1199,,,0.9086956977844238,0.3082011342048645
12,1249,,0.2847919464111328,,
12,1299,,0.27332550287246704,,
12,1299,,,0.9125354886054993,0.27638235688209534
13,1349,,0.2609829306602478,,
13,1399,,0.24098792672157288,,
13,1399,,,0.9140831232070923,0.2571946084499359
14,1449,,0.2362481653690338,,
14,1499,,0.23583181202411652,,
14,1499,,,0.9202374219894409,0.23372888565063477
15,1549,,0.24290597438812256,,
15,1599,,0.2114867866039276,,
15,1599,,,0.9180569648742676,0.22112123668193817
16,1649,,0.20832213759422302,,
16,1699,,0.21428357064723969,,
16,1699,,,0.9139856696128845,0.21700797975063324
17,1749,,0.19341790676116943,,
17,1799,,0.24670833349227905,,
17,1799,,,0.9190585613250732,0.1965511292219162
18,1849,,0.1930445283651352,,
18,1899,,0.1939798891544342,,
18,1899,,,0.9207826852798462,0.18424205482006073
19,1949,,0.20567956566810608,,
19,1999,,0.20027083158493042,,
19,1999,,,0.9185872077941895,0.17389944195747375
20,2000,0.9199999570846558,,,
